epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2509.18,0.50984,0.6067,0.90844,0.99793,1,0.995,0.8602,0.54463,0.56942,0.88138,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
31,2583.43,0.49961,0.59936,0.90236,0.99739,1,0.995,0.85788,0.54252,0.57253,0.88259,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
32,2658.2,0.50446,0.63937,0.90254,0.99685,1,0.995,0.85634,0.53099,0.56411,0.88015,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
33,2734.37,0.48773,0.60921,0.89607,0.99679,1,0.995,0.85316,0.53916,0.56006,0.87575,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
34,2808.61,0.50465,0.60964,0.90546,0.99707,1,0.995,0.85296,0.54446,0.55828,0.87761,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
35,2882.89,0.48505,0.58407,0.87765,0.99751,1,0.995,0.85475,0.54314,0.55685,0.8774,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
36,2957.57,0.48737,0.58537,0.89953,0.99777,1,0.995,0.86167,0.54616,0.55397,0.87691,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
37,3032.04,0.50178,0.57253,0.90319,0.99754,1,0.995,0.86093,0.53264,0.54935,0.87679,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
38,3107.13,0.48597,0.58675,0.90195,0.99763,1,0.995,0.85767,0.53094,0.54172,0.87834,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
39,3181.01,0.49806,0.58954,0.89812,0.99776,1,0.995,0.85441,0.53475,0.53829,0.87917,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
40,3255.26,0.48977,0.57617,0.89266,0.9978,1,0.995,0.85121,0.5382,0.53605,0.87962,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
41,3335.21,0.44489,0.78544,0.85992,0.9978,1,0.995,0.85096,0.53014,0.53251,0.87753,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
42,3409.35,0.42695,0.73867,0.83814,0.99783,1,0.995,0.86347,0.53306,0.54054,0.87702,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729,0.000941188,0.000313729
43,3484.25,0.43977,0.72617,0.84753,0.9978,1,0.995,0.86163,0.53517,0.55121,0.87286,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723,0.000842168,0.000280723
44,3558.57,0.42959,0.7352,0.85136,0.99761,1,0.995,0.87026,0.52746,0.54975,0.87031,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716,0.000743149,0.000247716
45,3634.38,0.42863,0.71408,0.83606,0.99755,1,0.995,0.86472,0.52363,0.54843,0.87121,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471,0.000644129,0.00021471
46,3707.87,0.41919,0.72521,0.84582,0.99777,1,0.995,0.86008,0.52465,0.54579,0.87118,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
47,3781.73,0.43573,0.7037,0.84969,0.99798,1,0.995,0.86369,0.52653,0.53806,0.87077,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696,0.000446089,0.000148696
48,3855.8,0.41389,0.70165,0.8432,0.99797,1,0.995,0.86044,0.53106,0.53357,0.87223,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569,0.000347069,0.00011569
49,3930.79,0.42048,0.69028,0.85591,0.99793,1,0.995,0.86136,0.53254,0.53108,0.87278,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05,0.00024805,8.26832e-05
50,4004.89,0.42686,0.69678,0.85356,0.99799,1,0.995,0.86048,0.53334,0.52873,0.87323,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05,0.00014903,4.96766e-05
